mysql_version,sid,latency,innodb_adaptive_flushing_lwm,innodb_adaptive_hash_index,innodb_adaptive_max_sleep_delay,innodb_buffer_pool_instances,innodb_buffer_pool_size,innodb_change_buffering,innodb_io_capacity,innodb_log_file_size,innodb_max_dirty_pages_pct,innodb_max_dirty_pages_pct_lwm,innodb_sync_array_size,innodb_thread_concurrency,max_heap_table_size,thread_cache_size,tmp_table_size,binlog_cache_size,binlog_max_flush_queue_time,binlog_stmt_cache_size,eq_range_index_dive_limit,host_cache_size,innodb_adaptive_flushing,innodb_autoextend_increment,innodb_buffer_pool_dump_now,innodb_buffer_pool_load_at_startup,innodb_buffer_pool_load_now,innodb_change_buffer_max_size,innodb_commit_concurrency,innodb_compression_failure_threshold_pct,innodb_compression_level,innodb_compression_pad_pct_max,innodb_concurrency_tickets,innodb_flush_log_at_timeout,innodb_flush_neighbors,innodb_flushing_avg_loops,innodb_ft_cache_size,innodb_ft_result_cache_limit,innodb_ft_sort_pll_degree,innodb_io_capacity_max,innodb_lock_wait_timeout,innodb_log_buffer_size,innodb_lru_scan_depth,innodb_max_purge_lag,innodb_max_purge_lag_delay,innodb_old_blocks_pct,innodb_old_blocks_time,innodb_online_alter_log_max_size,innodb_page_size,innodb_purge_batch_size,innodb_purge_threads,innodb_random_read_ahead,innodb_read_ahead_threshold,innodb_read_io_threads,innodb_replication_delay,innodb_rollback_segments,innodb_sort_buffer_size,innodb_spin_wait_delay,innodb_sync_spin_loops,innodb_thread_sleep_delay,innodb_use_native_aio,innodb_write_io_threads,join_buffer_size,lock_wait_timeout,max_binlog_cache_size,max_binlog_size,max_binlog_stmt_cache_size,max_delayed_threads,max_insert_delayed_threads,max_join_size,max_length_for_sort_data,max_seeks_for_key,max_sort_length,max_sp_recursion_depth,max_tmp_tables,max_write_lock_count,metadata_locks_cache_size,optimizer_prune_level,optimizer_search_depth,preload_buffer_size,query_alloc_block_size,query_cache_limit,query_cache_min_res_unit,query_cache_size,query_cache_type,query_cache_wlock_invalidate,query_prealloc_size,range_alloc_block_size,read_buffer_size,read_rnd_buffer_size,slave_checkpoint_group,slave_checkpoint_period,slave_parallel_workers,slave_pending_jobs_size_max,sort_buffer_size,stored_program_cache,table_definition_cache,table_open_cache,table_open_cache_instances,thread_stack,timed_mutexes,transaction_alloc_block_size,transaction_prealloc_size
MySQL 8.0.32,2509,25.93300000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,9,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2000,4000,16,1048576,-,8192,4096
MySQL 8.0.29,2639,16.87000000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,16,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,256,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,33554432,33554432,512,300,4,134217728,33554432,256,656,512,16,1048576,-,8192,4096
MySQL 5.7.37,202,2.17800000,10,ON,150000,2,2147483648,all,200,402653184,75.000000,0.000000,1,0,268435456,8,268435456,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,131072,262144,512,300,0,16777216,25165824,256,5248,2419,16,262144,-,8192,4096
MySQL 5.7.32,2627,0.74733330,10,ON,150000,5,5368709120,all,200,671088640,90.000000,0.000000,1,0,268435456,128,268435456,131072,0,32768,200,653,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,67108864,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,2097152,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,8388608,18446744073709551615,8388608,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,786432,512,300,0,16777216,268435456,256,400,32262,16,262144,-,8192,4096
MySQL 5.7.33,984,31.01600000,10,ON,150000,1,1073741824,all,200,67108864,75.000000,0.000000,1,0,134217728,8,134217728,32768,0,32768,200,178,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,5242880,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,33554432,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,4194304,512,300,0,16777216,1048576,256,1635,2470,16,262144,-,8192,4096
MySQL 5.7.41,2638,8.18200000,10,ON,150000,21,22548578304,all,200,2818572288,75.000000,0.000000,1,0,25165824,8,25165824,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,131072,262144,512,300,0,16777216,262144,256,1400,2000,16,196608,-,8192,4096
MySQL 8.0.32,2509,5.59065000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,9,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2000,4000,16,1048576,-,8192,4096
MySQL 5.7.34,7,29.20300000,10,ON,150000,2,2147483648,all,200,268435456,75.000000,0.000000,1,0,268435456,8,268435456,32768,0,32768,200,328,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,33554432,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,0,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,4194304,512,300,0,16777216,1048576,256,1664,2395,16,262144,-,8192,4096
MySQL 5.7.34,431,22.24066670,10,ON,150000,1,1073741824,all,200,134217728,75.000000,0.000000,1,0,16777216,8,268435456,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,5242880,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,4194304,512,300,0,16777216,1048576,256,1664,2419,16,262144,-,8192,4096
MySQL 8.0.32,1805,137.24701670,10,ON,150000,2,2147483648,all,200,50331648,90.000000,10.000000,1,0,268435456,16,268435456,32768,0,32768,200,654,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,67108864,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,0,32768,8192,-,-,-,-,-,8192,4096,131072,8388608,512,300,4,134217728,8388608,256,2688,4483,16,1048576,-,8192,4096
MySQL 5.7.34,7,27.11600000,10,ON,150000,2,2147483648,all,200,268435456,75.000000,0.000000,1,0,268435456,8,268435456,32768,0,32768,200,328,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,33554432,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,0,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,4194304,512,300,0,16777216,1048576,256,1664,2395,16,262144,-,8192,4096
MySQL 8.0.30,2448,16.76076670,10,ON,150000,1,402653184,all,3072,805306368,90.000000,10.000000,1,0,268435456,128,268435456,32768,0,32768,200,328,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,6144,50,16777216,3072,0,0,37,1000,134217728,16384,300,4,OFF,56,24,0,128,1048576,6,30,10000,ON,24,524288,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,0,32768,8192,-,-,-,-,-,8192,4096,1048576,2097152,512,300,4,134217728,3145728,256,4096,8087,16,524288,-,8192,4096
MySQL 8.0.33,2539,56.11900000,10,ON,150000,8,8589934592,all,21000,1073741824,90.000000,10.000000,1,0,134217728,20,1073741824,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,42000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,33554432,256,10000,4919,16,262144,-,8192,4096
MySQL 5.7.21,190,3.46700000,10,ON,150000,8,8589934592,all,200,1946157056,75.000000,0.000000,1,0,268435456,8,268435456,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,16777216,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,0,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,131072,262144,512,300,0,16777216,262144,256,65920,130991,16,196608,-,8192,4096
MySQL 8.0.33,2276,1.05463330,10,ON,150000,1,402653184,all,200,50331648,90.000000,10.000000,1,0,16777216,9,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2000,4000,16,1048576,-,8192,4096
MySQL 5.7.42,2629,11.50731670,10,ON,150000,8,38654705664,all,200,1073741824,75.000000,0.000000,1,0,16777216,500,16777216,32768,0,32768,200,703,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,33554432,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,64,0,128,1048576,6,30,10000,ON,64,524288,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,1048576,4096,1048576,OFF,OFF,8192,4096,131072,262144,512,300,0,16777216,262144,256,1147,1495,5,196608,-,8192,4096
MySQL 8.0.32,1812,22.32700000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,20,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,0,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2432,4096,16,1048576,-,8192,4096
MySQL 8.0.32,2509,26.62000000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,9,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2000,4000,16,1048576,-,8192,4096
MySQL 5.7.42,2629,342.33800000,10,ON,150000,8,38654705664,all,200,1073741824,75.000000,0.000000,1,0,16777216,500,16777216,32768,0,32768,200,703,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,33554432,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,64,0,128,1048576,6,30,10000,ON,64,524288,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,1048576,4096,1048576,OFF,OFF,8192,4096,131072,262144,512,300,0,16777216,262144,256,1147,1495,5,196608,-,8192,4096
MySQL 5.7.29,2634,15975.45300000,10,ON,150000,8,8589934592,all,200,2147483648,75.000000,0.000000,1,0,16777216,32,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,104857600,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,131072,262144,512,300,0,16777216,262144,256,1400,2000,16,196608,-,8192,4096
MySQL 5.7.34,431,22.08933330,10,ON,150000,1,1073741824,all,200,134217728,75.000000,0.000000,1,0,16777216,8,268435456,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,5242880,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,1048576,4194304,512,300,0,16777216,1048576,256,1664,2419,16,262144,-,8192,4096
MySQL 5.7.33,180,5.16700000,10,ON,150000,35,37580963840,all,200,5368709120,75.000000,0.000000,1,0,268435456,16,268435456,32768,0,32768,200,633,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,1,30,8000000,2000000000,2,2000,50,134217728,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,1024,18446744073709551615,1024,0,32,18446744073709551615,1024,1,62,32768,8192,16777216,4096,134217728,ON,OFF,8192,4096,131072,16777216,512,300,0,16777216,16777216,256,261888,522703,16,262144,-,8192,4096
MySQL 8.0.31,2650,356.47900000,10,ON,150000,22,23622320128,all,200,50331648,90.000000,10.000000,1,0,16777216,18,16777216,32768,0,32768,200,653,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2000,4000,16,1048576,-,8192,4096
MySQL 8.0.33,839,22.42953330,10,ON,150000,2,2684354560,all,200,335544320,90.000000,10.000000,1,0,268435456,12,268435456,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,1024,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,8388608,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,0,32768,8192,-,-,-,-,-,8192,4096,131072,262144,512,300,4,134217728,262144,256,2432,4096,16,1048576,-,8192,4096
MySQL 8.0.29,2639,17.31000000,10,ON,150000,1,134217728,all,200,50331648,90.000000,10.000000,1,0,16777216,16,16777216,32768,0,32768,200,279,ON,64,OFF,ON,OFF,25,0,5,6,50,5000,1,0,30,8000000,2000000000,2,2000,50,16777216,256,0,0,37,1000,134217728,16384,300,4,OFF,56,4,0,128,1048576,6,30,10000,ON,4,262144,31536000,18446744073709547520,1073741824,18446744073709547520,20,20,18446744073709551615,4096,18446744073709551615,1024,0,-,18446744073709551615,-,1,62,32768,8192,-,-,-,-,-,8192,4096,33554432,33554432,512,300,4,134217728,33554432,256,656,512,16,1048576,-,8192,4096
